near,1
southern,11
ada,3
charleston,1
jefferson,7
phoenix,8
princeton,12
raleigh,2
preston,4
vista,7
cathedral,3
south,22
geographical,2
german,1
biggest,26
highest,9
commercial,3
suntrust,1
judicial,3
mexican,3
other,5
good,2
historic,5
pal,1
prime,1
mobile,4
igneous,2
democratic,2
coastal,6
ecuatorial,1
maralago,1
pleasant,7
northeastern,1
central,15
naval,2
shariati,1
hitler,1
great,4
northwest,4
japanese,1
most,3
pelican,1
closest,182
congressional,18
naples,5
hawaiian,3
oxford,14
manchester,4
sandy,6
birmingham,3
brighton,6
corporate,2
cooperative,1
southwest,6
spanish,4
close,38
vernon,6
unincorporated,1
brandon,10
next,1
franklin,2
stem,1
mitchell,3
tri,1
cheapest,2
exxon,1
first,17
big,15
utc,1
strong,2
western,10
direct,1
outdoor,1
open,3
smallest,12
newington,1
major,13
nascar,1
original,5
newton,7
absolute,2
glengary,1
unique,1
thermal,2
largest,48
modern,1
little,6
halifax,2
mesa,2
nearest,28
greek,2
bellevue,5
uniform,1
old,2
initial,1
philadelphia,1
real,1
parker,6
east,10
public,2
costa,2
david,1
flip,1
popular,3
newgate,1
lowest,3
lower,2
richest,1
jonathan,1
short,1
eastern,5
binh,1
fair,2
independent,2
ancient,20
buffalo,4
reciprocal,1
scenic,1
newark,7
greensboro,6
indoor,2
winston,6
australian,4
nevada,11
surf,1
butler,6
northern,8
aberdeen,4
auburn,11
busiest,1
miller,2
nelson,2
plymouth,11
moore,1
troy,1
closer,8
baker,3
lexington,3
cornell,1
micro,1
shepherd,3
historical,2
french,13
danish,1
own,1
caribbean,4
pine,2
mililani,2
kent,4
marathon,1
best,12
russell,3
hartford,7
eastampton,1
palestine,1
plain,1
marine,1
victoria,4
prospect,1
distinct,1
geographic,3
duncan,3
portsmouth,6
frederick,6
webster,4
tustin,3
military,4
thomas,1
pontiac,8
orange,7
fine,1
canadian,6
myakka,1
bent,1
burke,1
important,2
dollardstown,1
frelinghuysen,1
graham,4
hardy,2
milton,3
new,12
ohio,2
white,2
ronald,1
powell,1
administrative,1
eden,2
westminster,7
pearbottom,1
tyler,2
montreal,2
liberal,4
perry,1
munich,3
margaret,1
future,1
palmer,6
safest,3
flat,1
different,2
gotha,2
leonard,1
warrior,1
elizabeth,3
gray,4
adams,2
cold,1
lafayette,7
rome,3
scott,1
denmark,4
doug,2
green,1
greene,1
center,3
american,6
southeastern,3
famous,4
arena,2
usd,1
normal,3
crawford,1
mountlake,1
milfor,1
chinese,1
colonial,1
physical,1
osf,1
official,2
wellington,2
swiss,1
tallest,9
omega,1
cross,2
brooks,1
mid,1
atlantic,5
superior,2
willow,2
hazard,1
castle,1
european,2
suburban,1
mananthavady,1
derby,2
clearlake,1
whitest,1
lucas,1
southeast,1
bevier,1
nice,2
notary,1
headquartered,1
escambia,1
westernmost,2
tricare,1
italian,1
oldest,11
swift,1
blue,4
newcastle,1
catchment,1
common,4
square,1
elementary,1
nottingham,1
front,1
warner,1
nainital,1
wasmer,1
polunsky,1
greater,1
middle,2
natural,1
bioluminescent,1
underwater,1
arctic,1
hobie,1
uss,3
simon,1
viticultural,1
last,5
editorial,1
stuart,3
un,1
lindsay,2
stafford,1
